Filter,Date,Description,Sub-description,Type of Transaction,Amount,Balance
"","2025-12-24","withdrawal","Free Interac E-Transfer ","Debit","-31.58","18657.31"
"","2025-12-24","withdrawal","Free Interac E-Transfer ","Debit","-31.17","18688.89"
"","2025-12-24","payroll deposit","Marvell Semiconductor ","Credit","2115.54","18720.06"
"","2025-12-22","withdrawal","Free Interac E-Transfer ","Debit","-43.00","16604.52"
"","2025-12-20","withdrawal","Free Interac E-Transfer ","Debit","-32.41","16647.52"
"","2025-12-19","bill payment","Mb-Td Visa 24491021","Debit","-2000.00","16679.93"
"","2025-12-18","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","18679.93"
"","2025-12-18","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","18725.12"
"","2025-12-16","withdrawal","Free Interac E-Transfer ","Debit","-317.36","19725.12"
"","2025-12-16","withdrawal","Free Interac E-Transfer ","Debit","-31.79","20042.48"
"","2025-12-15","withdrawal","Free Interac E-Transfer ","Debit","-400.00","20074.27"
"","2025-12-13","withdrawal","Free Interac E-Transfer ","Debit","-41.00","20474.27"
"","2025-12-13","correction","Interac E-Transfer Rtn ","Credit","41.00","20515.27"
"","2025-12-13","withdrawal","Free Interac E-Transfer ","Debit","-41.00","20474.27"
"","2025-12-12","payroll deposit","Marvell Semiconductor ","Credit","2153.58","20515.27"
"","2025-12-10","withdrawal","Free Interac E-Transfer ","Debit","-47.33","18361.69"
"","2025-12-10","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","18409.02"
"","2025-12-08","withdrawal","Free Interac E-Transfer ","Debit","-43.84","19409.02"
"","2025-12-08","deposit","Free Interac E-Transfer ","Credit","23.76","19452.86"
"","2025-12-08","deposit","Free Interac E-Transfer ","Credit","23.76","19429.10"
"","2025-12-08","withdrawal","Free Interac E-Transfer ","Debit","-31.17","19405.34"
"","2025-12-06","withdrawal","Free Interac E-Transfer ","Debit","-31.45","19436.51"
"","2025-12-04","miscellaneous payment","Goodlife Fitness Centres Inc ","Debit","-45.19","19467.96"
"","2025-12-04","withdrawal","Free Interac E-Transfer ","Debit","-1000.00","19513.15"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","822.09","20513.15"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","1048.26","19691.06"
"","2025-12-03","deposit","Free Interac E-Transfer ","Credit","5.00","18642.80"
"","2025-12-02","withdrawal","Free Interac E-Transfer ","Debit","-30.16","18637.80"
"","2025-12-02","withdrawal","Free Interac E-Transfer ","Debit","-30.16","18667.96"
"","2025-12-01","deposit","Free Interac E-Transfer ","Credit","1000.00","18698.12"
"","2025-12-01","withdrawal","Free Interac E-Transfer ","Debit","-3000.00","17698.12"
"","2025-11-29","withdrawal","Free Interac E-Transfer ","Debit","-31.15","20698.12"
"","2025-11-28","payroll deposit","Marvell Semiconductor ","Credit","2115.63","20729.27"
"","2025-11-24","withdrawal","Free Interac E-Transfer ","Debit","-29.91","18613.64"
"","2025-11-24","bill payment","Mb-Td Visa 57689943","Debit","-1000.00","18643.55"
